Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
39.0,Bachelor's,5.0,Telecom,Operations Analyst,Medium,Mid,84,30,60,Medium,4,5.0,49,15.0,High
44.0,PhD,9.0,Logistics,Dispatcher,Medium,Entry,61,27,85,Low,2,4.0,49,4.0,Medium
41.0,High School,7.0,Healthcare,Nurse,Large,Mid,35,71,73,Low,0,3.0,17,1.0,Low
29.0,Bachelor's,8.0,Education,Academic Coordinator,Medium,Mid,36,58,73,Low,0,1.0,27,8.0,Low
31.0,Bachelor's,0.0,Finance,Financial Analyst,Small,Mid,17,73,76,Low,2,5.0,15,0.0,Low
44.0,Master's,5.0,Education,Research Assistant,Small,Entry,72,40,33,Medium,2,12.0,64,15.0,High
41.0,High School,5.0,Telecom,Operations Analyst,Large,Entry,32,66,58,Low,1,4.0,29,2.0,Medium
39.0,Master's,9.0,IT,Data Analyst,Large,Mid,90,22,40,High,10,26.0,76,63.0,High
32.0,High School,2.0,Education,Research Assistant,Large,Entry,30,74,87,Low,2,1.0,21,4.0,Medium
48.0,Bachelor's,11.0,Manufacturing,Production Supervisor,Medium,Entry,11,81,65,Low,1,5.0,5,3.0,Low
35.0,Master's,10.0,IT,Software Engineer,Large,Senior,24,62,80,Low,0,2.0,13,2.0,Low
52.0,Bachelor's,5.0,Telecom,Network Engineer,Small,Mid,63,38,69,Low,1,3.0,53,2.0,Medium
51.0,High School,12.0,Finance,Auditor,Medium,Senior,12,100,94,Low,1,4.0,11,2.0,Low
54.0,Master's,7.0,Manufacturing,Quality Engineer,Large,Mid,94,4,52,Medium,2,7.0,54,24.0,High
55.0,Bachelor's,16.0,Retail,Store Manager,Medium,Entry,13,91,70,Low,0,2.0,10,9.0,Low
52.0,PhD,7.0,Retail,Sales Associate,Large,Mid,39,51,27,Low,1,4.0,25,1.0,Medium
28.0,Bachelor's,7.0,Retail,Sales Associate,Medium,Senior,54,52,82,Low,1,2.0,51,5.0,Medium
37.0,Bachelor's,6.0,Healthcare,Medical Assistant,Medium,Entry,35,48,52,Low,0,5.0,24,9.0,Medium
26.0,Master's,0.0,IT,Data Analyst,  Small  ,Mid,46,51,38,Low,1,4.0,43,3.0,Medium
52.0,High School,5.0,IT,Data Analyst,Small,Entry,49,58,60,Medium,5,13.0,39,7.0,Medium
45.0,High School,7.0,Retail,Store Manager,Small,Entry,64,34,80,Medium,5,11.0,38,7.0,High
24.0,Bachelor's,3.0,Healthcare,Medical Assistant,Small,Mid,38,61,59,Medium,2,11.0,21,22.0,Low
38.0,Bachelor's,13.0,Finance,Financial Analyst,Large,Mid,51,54,89,Low,2,1.0,32,6.0,Medium
60.0,High School,15.0,Telecom,Operations Analyst,Large,Entry,17,48,93,Low,0,3.0,11,6.0,Low
41.0,Bachelor's,11.0,Logistics,Supply Chain Analyst,Small,Mid,75,20,37,Medium,5,5.0,60,18.0,High
44.0,Bachelor's,,Telecom,Network Engineer,Medium,Entry,73,43,23,Medium,5,8.0,41,25.0,High
56.0,Bachelor's,10.0,Telecom,Support Specialist,Small,Senior,23,89,29,N/A,0,0.0,14,8.0,Low
48.0,Bachelor's,10.0,Logistics,Warehouse Manager,Small,Mid,69,48,29,Low,2,5.0,61,5.0,High
48.0,Bachelor's,6.0,Education,Teacher,Small,Mid,73,43,76,Medium,5,6.0,33,27.0,Medium
27.0,Bachelor's,6.0,Retail,Store Manager,Small,Entry,24,89,98,Low,0,4.0,19,1.0,Low
23.0,Bachelor's,2.0,Education,Teacher,Medium,Mid,94,8,77,High,9,22.0,71,64.0,High
51.0,Bachelor's,0.0,IT,ML Engineer,Large,Entry,53,56,93,Medium,3,12.0,29,20.0,Medium
40.0,PhD,11.0,Manufacturing,Quality Engineer,Small,Entry,59,42,22,Medium,5,7.0,46,10.0,High
35.0,High School,2.0,Telecom,Support Specialist,Small,Entry,10,95,64,Low,0,0.0,6,4.0,Low
37.0,Bachelor's,1.0,Logistics,Supply Chain Analyst,Medium,N/A,34,69,79,Low,2,0.0,29,5.0,Medium
56.0,Master's,8.0,Finance,Financial Analyst,Medium,Mid,17,84,57,Low,0,1.0,13,7.0,Low
56.0,Bachelor's,10.0,Finance,Financial Analyst,Large,Mid,38,75,58,Medium,5,6.0,17,24.0,Low
43.0,Bachelor's,15.0,IT,Data Analyst,Large,Entry,34,89,71,Low,0,4.0,21,1.0,Low
60.0,Bachelor's,1.0,Logistics,Warehouse Manager,Small,Mid,24,89,64,Low,1,2.0,15,1.0,Low
56.0,Bachelor's,1.0,Telecom,Network Engineer,Small,Entry,35,56,39,Low,1,5.0,27,3.0,Medium
47.0,Master's,1.0,Education,Teacher,Medium,Mid,79,30,75,Medium,3,7.0,44,9.0,Medium
53.0,Master's,11.0,Finance,Financial Analyst,Medium,Entry,21,83,49,Low,1,4.0,18,1.0,Low
55.0,Bachelor's,14.0,Telecom,Support Specialist,Medium,Entry,53,39,54,Low,0,0.0,41,7.0,High
29.0,Bachelor's,8.0,Education,Teacher,Medium,Entry,44,59,67,Medium,3,11.0,43,29.0,Medium
58.0,Bachelor's,6.0,Retail,Sales Associate,Medium,Mid,41,58,91,Medium,5,5.0,34,29.0,Medium
47.0,Master's,7.0,Logistics,Warehouse Manager,Small,Mid,20,88,37,Low,2,3.0,18,5.0,Low
32.0,Bachelor's,3.0,Logistics,Supply Chain Analyst,Large,Mid,16,66,25,Low,1,2.0,14,3.0,Low
40.0,Bachelor's,15.0,Telecom,Operations Analyst,Medium,Senior,88,18,58,High,8,19.0,71,47.0,Medium
22.0,Bachelor's,1.0,Education,Research Assistant,Medium,Mid,91,20,55,Medium,5,7.0,64,17.0,High
57.0,Master's,12.0,IT,ML Engineer,Medium,Entry,62,30,33,Medium,3,6.0,50,26.0,High
34.0,Master's,5.0,Healthcare,Nurse,Small,Entry,84,17,76,Medium,3,14.0,48,13.0,Medium
29.0,High School,3.0,Logistics,Dispatcher,Small,Mid,14,91,86,Low,2,4.0,11,0.0,Low
21.0,Bachelor's,0.0,Finance,Financial Analyst,Medium,Entry,85,11,49,Medium,2,10.0,71,10.0,High
41.0,Bachelor's,8.0,Logistics,Warehouse Manager,Large,Mid,22,75,74,Low,1,3.0,19,2.0,Low
22.0,Bachelor's,1.0,Healthcare,Health Analyst,Medium,Mid,55,55,55,Medium,4,11.0,39,22.0,Medium
44.0,Bachelor's,1.0,Education,Academic Coordinator,Small,Mid,40,46,23,Low,2,0.0,22,3.0,Medium
21.0,Master's,0.0,Education,Research Assistant,Small,Senior,60,44,49,Medium,4,11.0,34,26.0,Low
55.0,Master's,5.0,Telecom,Network Engineer,Small,Mid,69,24,29,Medium,5,7.0,40,11.0,Medium
40.0,High School,3.0,Education,Research Assistant,Medium,Entry,67,41,86,Medium,4,6.0,41,11.0,Medium
40.0,Master's,13.0,IT,Software Engineer,Large,Mid,14,79,51,Low,1,4.0,11,5.0,Low
44.0,Bachelor's,6.0,Education,Research Assistant,Medium,Senior,55,48,84,Medium,3,10.0,40,25.0,Low
58.0,Master's,14.0,Logistics,Warehouse Manager,Medium,Entry,55,43,51,Low,2,4.0,26,9.0,Medium
39.0,Master's,12.0,Education,Teacher,Small,Mid,11,89,89,Low,1,2.0,7,3.0,Low
49.0,Bachelor's,15.0,Telecom,Support Specialist,Small,Entry,40,63,26,Low,1,4.0,26,7.0,Medium
51.0,Bachelor's,7.0,Manufacturing,Quality Engineer,Medium,Entry,74,24,54,High,7,28.0,72,70.0,High
45.0,Bachelor's,11.0,Healthcare,Health Analyst,Medium,Mid,69,58,83,Medium,2,12.0,55,9.0,Medium
51.0,Bachelor's,2.0,Finance,Accountant,Large,Entry,35,58,77,Low,0,1.0,21,5.0,Medium
47.0,Master's,7.0,Education,Academic Coordinator,Medium,Entry,91,9,46,High,6,21.0,44,24.0,High
40.0,Bachelor's,3.0,Retail,Inventory Analyst,Large,Entry,79,9,52,Medium,4,9.0,70,26.0,High
33.0,Bachelor's,7.0,Healthcare,Nurse,Small,Entry,38,48,80,Low,1,3.0,34,2.0,Medium
34.0,Bachelor's,13.0,Manufacturing,Operator,Small,Mid,69,39,73,Low,2,1.0,36,8.0,High
57.0,Bachelor's,7.0,Education,Research Assistant,Medium,Entry,19,98,58,Low,1,4.0,16,0.0,Low
33.0,Master's,10.0,Telecom,Operations Analyst,Small,Entry,15,70,41,Low,0,0.0,14,6.0,Low
27.0,Master's,6.0,Education,Research Assistant,Small,Entry,12,95,61,Low,1,4.0,9,5.0,Low
25.0,Bachelor's,4.0,Retail,Inventory Analyst,Small,Mid,34,52,48,Low,0,2.0,27,1.0,Medium
50.0,Bachelor's,12.0,Finance,Accountant,Medium,Entry,58,70,50,Low,2,5.0,40,9.0,Medium
27.0,High School,6.0,Education,Teacher,Large,Entry,16,84,68,Low,0,3.0,7,9.0,Low
27.0,Bachelor's,6.0,Telecom,Support Specialist,Large,Mid,93,6,81,High,10,20.0,76,34.0,High
30.0,Master's,8.0,Education,Academic Coordinator,Small,Entry,91,10,28,High,6,29.0,61,71.0,High
50.0,High School,7.0,Manufacturing,Quality Engineer,Small,Entry,56,52,75,Medium,2,13.0,42,12.0,High
55.0,Master's,4.0,Education,Academic Coordinator,Medium,Senior,21,75,42,Low,2,4.0,11,7.0,Low
39.0,High School,4.0,IT,Software Engineer,Medium,Mid,14,100,76,Low,1,2.0,12,9.0,Low
36.0,Bachelor's,7.0,Manufacturing,Quality Engineer,Large,Entry,82,35,86,Medium,3,9.0,58,15.0,High
44.0,High School,7.0,Finance,Auditor,Medium,Mid,47,43,73,Low,1,2.0,34,2.0,Medium
43.0,High School,6.0,Telecom,Network Engineer,Medium,Entry,41,31,62,Medium,3,11.0,36,5.0,High
53.0,Bachelor's,4.0,Finance,Financial Analyst,Small,Mid,11,100,43,Low,0,5.0,6,9.0,Low
36.0,Master's,10.0,Manufacturing,Operator,Small,Mid,33,68,48,Low,2,1.0,18,7.0,Low
23.0,Bachelor's,2.0,Manufacturing,Operator,Medium,Mid,89,19,90,Medium,5,14.0,69,16.0,High
34.0,Master's,4.0,Telecom,Network Engineer,Medium,Senior,75,33,31,Medium,2,10.0,37,25.0,Medium
22.0,Bachelor's,1.0,Manufacturing,Quality Engineer,Medium,Mid,88,13,41,Medium,3,5.0,55,17.0,High
50.0,Bachelor's,14.0,IT,Software Engineer,Large,Entry,92,0,84,High,6,24.0,89,39.0,High
43.0,High School,5.0,Finance,Accountant,Medium,Entry,38,76,78,Low,0,0.0,27,6.0,Medium
21.0,Bachelor's,0.0,Healthcare,Medical Assistant,Large,Mid,53,45,93,Medium,3,14.0,42,17.0,Medium
38.0,Master's,6.0,Logistics,Dispatcher,Small,Mid,61,27,37,Low,2,0.0,50,2.0,High
52.0,Bachelor's,3.0,Retail,Inventory Analyst,Small,Entry,67,39,66,Medium,3,12.0,44,17.0,High
43.0,High School,6.0,Retail,Sales Associate,Small,Senior,48,49,45,Low,2,5.0,25,1.0,Medium
59.0,Bachelor's,8.0,Retail,Sales Associate,Medium,Entry,93,0,60,High,10,21.0,50,36.0,High
39.0,Bachelor's,0.0,Education,Research Assistant,Large,Entry,72,21,51,Medium,5,6.0,70,28.0,High
28.0,PhD,4.0,Telecom,Support Specialist,Small,Senior,18,79,59,Low,1,4.0,11,4.0,Low
27.0,Bachelor's,6.0,IT,Data Analyst,Small,Senior,23,72,94,Low,2,2.0,15,0.0,Low
31.0,Bachelor's,6.0,Telecom,Operations Analyst,Medium,Entry,49,75,36,Low,1,1.0,40,2.0,Medium
50.0,Bachelor's,4.0,Healthcare,Health Analyst,Medium,Entry,83,6,75,Medium,3,6.0,55,25.0,High
37.0,Bachelor's,2.0,Logistics,Warehouse Manager,Small,Mid,93,0,43,High,8,29.0,49,24.0,High
51.0,Master's,7.0,Logistics,Supply Chain Analyst,Medium,Entry,86,23,90,Medium,3,13.0,65,11.0,High
51.0,Bachelor's,8.0,Education,Research Assistant,Medium,Senior,32,82,28,Low,1,4.0,23,5.0,Low
22.0,Bachelor's,1.0,IT,Software Engineer,Small,Mid,71,35,89,Medium,2,10.0,40,26.0,Medium
50.0,High School,12.0,Retail,Store Manager,Medium,Mid,18,68,73,Low,0,4.0,10,4.0,Low
31.0,High School,10.0,Telecom,Operations Analyst,Large,Mid,33,55,56,Low,2,1.0,22,7.0,Medium
25.0,High School,4.0,Healthcare,Health Analyst,Small,Entry,53,47,35,Medium,4,11.0,51,15.0,High
39.0,High School,7.0,Logistics,Supply Chain Analyst,Large,Senior,12,92,66,Low,0,0.0,10,6.0,Low
52.0,Bachelor's,8.0,Manufacturing,Operator,Small,Senior,62,38,25,Medium,3,7.0,36,23.0,Medium
56.0,PhD,13.0,IT,Software Engineer,Medium,Mid,43,50,29,Low,1,1.0,40,5.0,Low
41.0,Master's,7.0,Education,Research Assistant,Medium,Entry,53,43,87,Medium,4,12.0,26,13.0,Low
41.0,Bachelor's,12.0,Telecom,Support Specialist,Small,Entry,87,11,66,High,7,26.0,42,51.0,High
44.0,Bachelor's,1.0,IT,Data Analyst,Small,Mid,66,41,74,Medium,2,10.0,42,17.0,Medium
44.0,Master's,17.0,Education,Research Assistant,Small,Mid,52,55,67,Low,0,0.0,34,1.0,Low
43.0,High School,8.0,Healthcare,Medical Assistant,Medium,Mid,86,0,60,Medium,4,12.0,66,24.0,High
55.0,Bachelor's,1.0,IT,Data Analyst,Medium,Entry,47,62,29,Low,2,5.0,28,6.0,Medium
47.0,High School,10.0,Telecom,Network Engineer,Large,Entry,13,83,58,Low,0,5.0,10,4.0,Low
55.0,Bachelor's,9.0,Logistics,Dispatcher,Small,Entry,38,40,22,Low,1,5.0,22,2.0,Medium
29.0,Bachelor's,6.0,Retail,Store Manager,Medium,Mid,24,86,94,Low,2,2.0,12,0.0,Low
57.0,Master's,12.0,Manufacturing,Operator,Small,Entry,40,53,39,Low,1,4.0,32,0.0,Medium
23.0,Bachelor's,2.0,Retail,Sales Associate,Small,Entry,49,63,56,Medium,4,7.0,37,20.0,High
36.0,Master's,13.0,IT,Data Analyst,Large,Entry,31,69,74,Low,2,2.0,19,2.0,Low
53.0,High School,9.0,Healthcare,Medical Assistant,Large,Entry,50,39,83,Low,2,1.0,45,7.0,Medium
23.0,High School,2.0,Education,Research Assistant,Medium,Entry,64,28,69,Medium,3,8.0,28,6.0,High
49.0,Bachelor's,17.0,Telecom,Network Engineer,Small,Entry,67,23,33,Low,0,0.0,50,6.0,High
28.0,Bachelor's,7.0,Healthcare,Health Analyst,Medium,Senior,33,70,73,Low,0,0.0,30,9.0,Low
36.0,Bachelor's,6.0,Healthcare,Nurse,Large,Entry,81,33,80,High,9,23.0,43,63.0,Medium
60.0,Bachelor's,5.0,Healthcare,Nurse,Small,Mid,66,37,76,Medium,3,9.0,48,23.0,Medium
31.0,Master's,0.0,IT,Software Engineer,Medium,Mid,79,14,74,Medium,5,12.0,63,21.0,High
29.0,Bachelor's,8.0,Manufacturing,Quality Engineer,Medium,Mid,78,12,67,Medium,2,10.0,50,27.0,High
49.0,Bachelor's,2.0,IT,Software Engineer,Small,Mid,62,43,79,Low,1,1.0,48,9.0,Medium
34.0,Bachelor's,11.0,Retail,Inventory Analyst,Medium,Mid,94,0,44,High,10,15.0,74,44.0,High
29.0,Master's,8.0,Retail,Sales Associate,Large,Entry,47,46,61,Low,1,1.0,33,4.0,Medium
21.0,PhD,0.0,Education,Teacher,Small,Senior,47,43,92,Low,0,3.0,25,2.0,Low
24.0,High School,3.0,Retail,Sales Associate,Small,Senior,21,90,74,Low,0,1.0,16,3.0,Low
36.0,High School,11.0,Healthcare,Health Analyst,Small,Senior,85,31,40,Medium,5,7.0,53,5.0,Medium
26.0,High School,0.0,Education,NULL,Small,Senior,48,36,47,Low,0,0.0,26,9.0,Low
29.0,Master's,8.0,Telecom,Support Specialist,Medium,Senior,38,61,89,Low,1,4.0,31,4.0,Low
34.0,Bachelor's,0.0,IT,ML Engineer,Large,Senior,80,25,80,Medium,2,7.0,42,20.0,Medium
24.0,Bachelor's,3.0,Retail,Store Manager,Small,Mid,57,28,80,Low,2,0.0,51,8.0,High
30.0,Master's,9.0,Education,Academic Coordinator,Small,Entry,74,36,51,Medium,5,6.0,39,8.0,Medium
49.0,Master's,14.0,Retail,Sales Associate,Large,Senior,56,44,23,Medium,3,13.0,49,19.0,Medium
26.0,High School,5.0,Logistics,Dispatcher,Medium,Mid,62,57,94,Low,1,3.0,42,7.0,Medium
22.0,Master's,1.0,Retail,Store Manager,Medium,Senior,78,14,98,Medium,3,6.0,40,6.0,Medium
28.0,Master's,4.0,Retail,Sales Associate,Small,Entry,62,41,24,Low,2,3.0,47,0.0,High
27.0,Bachelor's,6.0,Telecom,Network Engineer,Medium,Entry,69,23,62,High,8,21.0,63,48.0,High
33.0,Bachelor's,5.0,Retail,Store Manager,Medium,Entry,48,50,83,Medium,4,9.0,37,13.0,Medium
23.0,Master's,2.0,Education,Academic Coordinator,Medium,Senior,66,48,72,Medium,5,14.0,65,11.0,Low
21.0,Bachelor's,0.0,Healthcare,Nurse,Medium,Entry,29,76,89,Low,1,0.0,20,6.0,Low
52.0,Bachelor's,11.0,Retail,Inventory Analyst,Small,Senior,67,21,60,Medium,3,13.0,52,16.0,Medium
52.0,Bachelor's,15.0,Education,Academic Coordinator,Medium,Mid,23,63,30,Low,2,5.0,16,6.0,Low
49.0,High School,7.0,Finance,Auditor,Medium,Entry,14,84,83,Low,1,1.0,11,6.0,Low
59.0,Bachelor's,14.0,Retail,Inventory Analyst,Small,Entry,23,83,54,Low,2,5.0,12,7.0,Medium
41.0,Master's,11.0,Finance,Financial Analyst,Small,Entry,80,41,71,Medium,2,12.0,75,29.0,High
48.0,High School,3.0,Telecom,Support Specialist,Small,Entry,70,19,34,Medium,2,6.0,43,24.0,High
24.0,High School,3.0,IT,Software Engineer,Large,Mid,12,100,81,Low,1,2.0,8,0.0,Low
56.0,Bachelor's,3.0,Telecom,Support Specialist,Medium,Senior,77,7,70,Medium,3,14.0,46,5.0,Medium
27.0,  Master's  ,1.0,Education,Academic Coordinator,Large,Mid,23,75,41,Low,2,3.0,13,8.0,Low
44.0,Bachelor's,8.0,Manufacturing,Production Supervisor,Medium,Senior,12,93,26,Low,1,3.0,7,8.0,Low
28.0,Bachelor's,7.0,Finance,Auditor,Medium,Mid,25,86,58,Low,0,3.0,20,1.0,Low
44.0,Bachelor's,15.0,Education,Research Assistant,Small,Entry,76,29,54,Medium,2,5.0,50,10.0,High
37.0,Bachelor's,5.0,Education,Research Assistant,Medium,Mid,50,53,53,Low,0,3.0,22,1.0,Low
38.0,Bachelor's,10.0,Retail,Sales Associate,Large,Entry,14,89,49,Low,0,4.0,13,7.0,Low
47.0,Bachelor's,7.0,Retail,Store Manager,Small,Entry,19,80,79,Low,0,4.0,16,4.0,Low
32.0,High School,3.0,Education,Academic Coordinator,Large,Mid,73,14,36,Medium,3,14.0,35,24.0,Medium
27.0,Bachelor's,6.0,Finance,Financial Analyst,Small,Entry,21,81,62,Low,1,1.0,19,9.0,Low
31.0,Bachelor's,10.0,Education,Teacher,Large,Senior,63,37,86,Medium,3,14.0,61,19.0,Low
36.0,Bachelor's,8.0,IT,ML Engineer,Large,Entry,43,52,48,Low,2,1.0,26,8.0,Medium
31.0,Master's,10.0,Healthcare,Health Analyst,Small,Entry,93,0,83,High,9,22.0,76,30.0,High
47.0,High School,6.0,IT,Software Engineer,Medium,Entry,62,41,37,Medium,3,8.0,52,29.0,High
47.0,Bachelor's,7.0,Retail,Inventory Analyst,Medium,Mid,15,92,56,Low,0,2.0,12,6.0,Low
33.0,Bachelor's,10.0,IT,Software Engineer,Medium,Mid,27,71,56,Low,0,1.0,14,7.0,Low
28.0,Master's,7.0,Education,Research Assistant,Medium,Mid,86,0,91,Medium,3,10.0,63,15.0,Medium
37.0,Bachelor's,3.0,Telecom,Support Specialist,Medium,Entry,20,72,70,Low,2,5.0,9,2.0,Low
51.0,Bachelor's,7.0,Healthcare,Health Analyst,Large,Senior,37,89,90,Low,0,0.0,32,0.0,Low
43.0,High School,17.0,Education,Research Assistant,Small,Entry,22,68,34,Low,0,5.0,13,6.0,Low
55.0,Bachelor's,10.0,Logistics,Warehouse Manager,Large,Senior,76,14,58,Low,0,2.0,57,4.0,High
37.0,High School,11.0,Logistics,Warehouse Manager,Medium,Mid,68,21,79,Medium,3,8.0,47,8.0,High
27.0,Bachelor's,6.0,IT,Data Analyst,Small,Mid,34,78,49,Low,1,5.0,16,2.0,Low
28.0,High School,7.0,IT,Data Analyst,Small,Mid,36,57,80,Medium,3,7.0,16,14.0,Low
55.0,High School,6.0,Finance,Financial Analyst,Medium,Senior,82,16,88,Medium,2,10.0,79,23.0,High
57.0,Bachelor's,16.0,Retail,Sales Associate,Small,Entry,53,61,21,Medium,3,8.0,30,26.0,Medium
41.0,Master's,11.0,Manufacturing,Operator,Medium,Mid,57,47,20,Low,2,2.0,34,3.0,Medium
56.0,Bachelor's,11.0,IT,Software Engineer,Large,Entry,37,74,33,Low,2,4.0,34,9.0,Medium
38.0,Bachelor's,12.0,Telecom,Operations Analyst,Large,Senior,85,0,93,Medium,4,9.0,55,16.0,Medium
29.0,Bachelor's,4.0,Retail,Sales Associate,Small,Entry,37,61,55,Low,1,5.0,36,7.0,Medium
40.0,PhD,2.0,Logistics,Dispatcher,Medium,Mid,61,48,46,Medium,5,6.0,36,24.0,Medium
40.0,High School,6.0,Finance,Financial Analyst,Medium,Mid,93,8,68,High,9,24.0,67,40.0,High
49.0,Master's,10.0,Telecom,Operations Analyst,Large,Entry,14,99,30,Low,1,2.0,7,5.0,Low
38.0,High School,5.0,Finance,Auditor,Medium,Senior,37,74,55,Low,0,3.0,23,1.0,Low
32.0,High School,11.0,Education,Research Assistant,Medium,Mid,53,46,76,Medium,3,5.0,31,8.0,Medium
53.0,High School,8.0,Healthcare,Medical Assistant,Small,Entry,47,54,35,Low,2,1.0,40,8.0,Medium
47.0,Bachelor's,2.0,Manufacturing,Quality Engineer,Medium,Entry,67,41,22,Low,2,1.0,47,6.0,High
48.0,Bachelor's,9.0,Manufacturing,Quality Engineer,Medium,Entry,84,21,73,Medium,4,11.0,61,17.0,High
47.0,Master's,12.0,Education,Teacher,Medium,Entry,32,61,93,Low,0,3.0,24,0.0,Low
56.0,PhD,12.0,Logistics,Dispatcher,Medium,Mid,14,100,50,Low,2,3.0,6,5.0,Low
31.0,Master's,2.0,Telecom,Support Specialist,Medium,Entry,41,73,60,Low,0,5.0,22,4.0,Medium
23.0,Master's,2.0,Logistics,Supply Chain Analyst,Small,Entry,41,38,60,Low,1,1.0,30,7.0,Medium
43.0,High School,7.0,Logistics,Supply Chain Analyst,Large,Entry,69,28,56,Medium,3,11.0,41,22.0,High
21.0,Master's,0.0,Logistics,Warehouse Manager,Medium,Entry,60,57,35,Medium,5,10.0,34,12.0,High
48.0,PhD,1.0,Logistics,Warehouse Manager,Small,Entry,35,48,58,Low,0,4.0,18,6.0,Medium
35.0,Bachelor's,14.0,Logistics,Warehouse Manager,Medium,Entry,93,14,62,Medium,5,13.0,72,25.0,High
52.0,High School,10.0,Manufacturing,Production Supervisor,Large,Mid,46,58,87,Low,0,0.0,28,5.0,Medium
56.0,Bachelor's,5.0,Logistics,Warehouse Manager,Medium,Entry,19,77,70,Low,0,3.0,13,5.0,Low
56.0,Bachelor's,10.0,Manufacturing,Production Supervisor,Medium,Senior,51,49,23,Medium,2,11.0,45,15.0,Medium
41.0,Master's,6.0,Manufacturing,Operator,Small,Senior,45,59,50,Low,1,2.0,40,6.0,Low
49.0,Bachelor's,16.0,Finance,Accountant,Small,Entry,63,25,34,Medium,5,9.0,41,23.0,High
25.0,Bachelor's,2.0,Telecom,Support Specialist,Small,Entry,36,53,40,Medium,2,13.0,35,17.0,High
43.0,Bachelor's,7.0,Telecom,Support Specialist,Large,Entry,27,67,94,Low,2,5.0,17,0.0,Low
31.0,Bachelor's,3.0,Education,Academic Coordinator,Large,Entry,91,12,48,High,5,18.0,64,64.0,High
57.0,Bachelor's,10.0,Telecom,Operations Analyst,Medium,Senior,27,89,54,Low,1,2.0,22,1.0,Low
46.0,Master's,7.0,Healthcare,Nurse,Medium,Entry,54,39,97,Low,0,4.0,29,1.0,Low
24.0,PhD,3.0,Retail,Sales Associate,Large,Mid,93,12,47,High,10,23.0,53,36.0,High
35.0,High School,14.0,IT,Software Engineer,Medium,Senior,53,68,87,Low,2,5.0,47,4.0,Low
44.0,High School,3.0,Healthcare,Health Analyst,Medium,Entry,32,67,24,Low,0,3.0,28,6.0,Medium
32.0,High School,10.0,Retail,Inventory Analyst,Medium,Senior,71,50,78,Medium,2,5.0,32,24.0,Medium
55.0,Master's,12.0,Healthcare,Medical Assistant,Large,Entry,17,71,75,Low,2,4.0,13,1.0,Low
28.0,Bachelor's,2.0,Healthcare,Medical Assistant,Medium,Senior,59,38,49,Medium,3,11.0,51,7.0,Medium
26.0,Bachelor's,5.0,Manufacturing,Operator,Large,Mid,60,32,64,Medium,4,11.0,48,28.0,High
55.0,PhD,9.0,Retail,Inventory Analyst,Large,Entry,52,46,92,Medium,4,9.0,45,13.0,Medium
40.0,Bachelor's,6.0,Finance,Accountant,Medium,Mid,72,33,35,Medium,4,5.0,68,9.0,High
57.0,High School,10.0,Finance,Financial Analyst,Medium,Entry,26,70,83,Low,2,1.0,22,8.0,Medium
37.0,Bachelor's,13.0,Logistics,Warehouse Manager,Small,Entry,24,74,25,Low,2,0.0,22,4.0,Medium
50.0,High School,9.0,Logistics,Warehouse Manager,Large,Mid,35,73,35,Low,1,1.0,22,5.0,Medium
50.0,Master's,8.0,Retail,Sales Associate,Medium,Entry,16,80,71,Low,2,2.0,12,6.0,Low
36.0,High School,3.0,Education,Research Assistant,Medium,Mid,85,34,46,Medium,5,7.0,43,6.0,High
24.0,Bachelor's,3.0,Finance,Accountant,Large,Senior,11,65,73,Low,1,2.0,10,5.0,Low
60.0,Bachelor's,12.0,Manufacturing,Operator,Medium,Mid,54,33,36,Medium,3,12.0,48,5.0,High
33.0,Bachelor's,9.0,Manufacturing,Quality Engineer,Large,Mid,46,58,24,Low,0,4.0,22,5.0,Medium
30.0,Master's,9.0,Telecom,Operations Analyst,Medium,Mid,25,70,76,Low,0,4.0,11,2.0,Low
43.0,Bachelor's,7.0,Education,Research Assistant,Small,Entry,54,48,50,Low,0,1.0,30,8.0,Medium
25.0,Master's,1.0,Finance,Financial Analyst,Small,Mid,69,23,76,Medium,5,10.0,53,12.0,High
31.0,High School,1.0,Logistics,Supply Chain Analyst,Medium,Senior,30,86,27,Low,0,3.0,25,4.0,Medium
37.0,Master's,7.0,Finance,Financial Analyst,Medium,Entry,14,100,74,Low,1,1.0,7,9.0,Low
48.0,Bachelor's,9.0,Logistics,Warehouse Manager,Small,Entry,25,75,24,Low,2,5.0,19,4.0,Medium
25.0,Bachelor's,2.0,IT,ML Engineer,Medium,Senior,46,62,43,Medium,5,11.0,32,18.0,Low
27.0,Bachelor's,6.0,Manufacturing,Quality Engineer,Large,Mid,56,39,75,Low,1,4.0,37,0.0,Medium
59.0,Bachelor's,0.0,Retail,Sales Associate,Medium,Entry,68,42,92,Low,2,5.0,40,7.0,High
52.0,Bachelor's,6.0,Retail,Inventory Analyst,Medium,Entry,53,67,89,Low,2,0.0,44,5.0,Medium
51.0,Bachelor's,2.0,IT,Software Engineer,Medium,Mid,10,83,70,Low,0,2.0,9,2.0,Low
54.0,Bachelor's,2.0,logistics,Dispatcher,Small,Entry,81,20,37,Medium,2,8.0,63,9.0,High
